today_close,predicted_next_close,actual_next_close,signal,actual_return_pct,equity_curve
9.55,9.936805,9.59,BUY,0.418848167539258,1.0285772562941156
9.59,9.95566,9.99,BUY,4.171011470281547,1.0714793316348503
9.99,9.979229,9.79,SELL,-2.002002002002013,1.092930369305218
9.79,10.041079,9.87,BUY,0.8171603677221662,1.1018613631299796
9.87,10.110765,9.87,BUY,0.0,1.1018613631299796
9.87,10.14811,9.79,BUY,-0.8105369807497474,1.092930369305218
9.79,10.169353,9.71,BUY,-0.8171603677221482,1.0839993754804564
9.71,10.232935,9.87,BUY,1.6477857878475628,1.1018613631299798
9.87,10.182677,9.83,BUY,-0.40526849037486473,1.097395866217599
9.83,10.184362,9.91,BUY,0.8138351983723303,1.1063268600423608
9.91,10.171965,9.99,BUY,0.8072653884964689,1.1152578538671225
9.99,10.140765,10.11,BUY,1.2012012012011934,1.1286543446042652
10.11,10.064344,10.07,SELL,-0.3956478733926721,1.1331198415166461
10.07,10.088569,10.07,BUY,0.0,1.1331198415166461
10.07,10.124236,9.83,BUY,-2.383316782522346,1.1061140061676893
9.83,10.171841,10.03,BUY,2.0345879959308166,1.1286188689584866
10.03,10.207304,10.39,BUY,3.58923230309074,1.169127621981922
10.39,10.23903,9.67,SELL,-6.929740134744952,1.2501451280287923
9.67,10.249431,9.63,BUY,-0.4136504653567647,1.2449738968890662
9.63,10.2055025,8.98,BUY,-6.74974039460021,1.1609413908685164
8.98,10.138124,8.38,BUY,-6.681514476614694,1.0833729237726246
8.38,9.9451275,8.94,BUY,6.682577565632443,1.1557701597287904
8.94,9.754323,9.55,BUY,6.823266219239388,1.234631434609614
9.55,9.582253,10.19,BUY,6.701570680628259,1.3173711328452322
10.19,9.472276,10.11,SELL,-0.7850834151128565,1.3277135951246843
10.11,9.486036,9.99,SELL,-1.186943620178034,1.3434728069362531
9.99,9.560778,10.07,SELL,0.8008008008008015,1.3327142659397666
10.07,9.610792,10.19,SELL,1.191658391261164,1.3168328645581608
10.19,9.727856,10.03,SELL,-1.570166830225713,1.337509337406964
10.03,9.867942,9.79,SELL,-2.392821535393821,1.369513548870341
9.79,10.022492,9.83,BUY,0.4085801838610922,1.375109109846318
9.83,10.132306,9.71,BUY,-1.2207527975584864,1.3583224269183873
9.71,10.243315,9.63,BUY,-0.8238928939237906,1.3471313049664335
9.63,10.230809,9.67,BUY,0.4153686396676962,1.35272686594241
9.67,10.179883,9.59,BUY,-0.8273009307135478,1.3415357439904563
9.59,10.110702,9.99,BUY,4.171011470281547,1.397491353750225
9.99,10.05271,9.87,BUY,-1.201201201201211,1.3807046708222943
9.87,10.003816,9.75,BUY,-1.2158054711246122,1.363917987894364
9.75,9.90292,9.95,BUY,2.051282051282044,1.3918957927742481
9.95,9.870184,9.99,SELL,0.4020100502512656,1.386300231798271
9.99,9.78506,10.11,SELL,1.2012012012011934,1.3696479767616554
10.11,9.81768,10.31,SELL,1.978239366963413,1.3425530612965384
10.31,9.854246,10.31,SELL,0.0,1.3425530612965384
10.31,9.940426,10.51,SELL,1.9398642095053276,1.3165093549668287
10.51,10.041257,10.47,SELL,-0.3805899143672612,1.321519856793534
10.47,10.161251,10.27,SELL,-1.9102196752626655,1.346763789110507
10.27,10.257869,10.67,SELL,3.8948393378773165,1.294309503263944
10.67,10.349486,10.75,SELL,0.7497656982193072,1.2846052145796782
10.75,10.472613,10.87,SELL,1.1162790697674345,1.2702654354401843
10.87,10.582001,10.75,SELL,-1.1039558417663222,1.2842886049206648
10.75,10.715884,10.87,SELL,1.1162790697674345,1.2699523600285272
10.87,10.8276205,10.91,SELL,0.367985280588785,1.2652791222731323
10.91,10.910981,11.07,BUY,1.4665444546287822,1.2838350030764047
11.07,11.001233,11.15,SELL,0.7226738934056014,1.2745570626747686
11.15,11.089161,10.95,SELL,-1.7937219730941798,1.2974190727675896
10.95,11.157818,11.15,BUY,1.82648401826485,1.3211162247816095
11.15,11.2505865,11.27,BUY,1.0762331838564951,1.3353345159900214
11.27,11.288438,11.31,BUY,0.3549245785270712,1.3400739463928253
11.31,11.3493185,11.11,BUY,-1.7683465959328122,1.3163767943788052
11.11,11.330435,10.87,BUY,-2.1602160216021624,1.2879402119619814
10.87,11.35556,10.55,BUY,-2.943882244710198,1.2500247687395498
10.55,11.324287,10.59,BUY,0.37914691943127155,1.2547641991423535
10.59,11.251446,10.67,BUY,0.7554296506137872,1.2642430599479615
